day,intraday,time_normalized,instantaneous_vol,date,realized_vol,RV_daily,RV_weekly,RV_monthly
0,0,0.0,4.6838049585806945e-05,2025-04-21,0.005772746190968258,0.005772746190968258,0.006052305176301643,0.00643280300020625
1,0,0.0,2.2845967401996684e-05,2025-04-22,0.004696894200855311,0.004696894200855311,0.006052305176301643,0.00643280300020625
2,0,0.0,4.357531549751774e-05,2025-04-23,0.0059994962355188405,0.0059994962355188405,0.006052305176301643,0.00643280300020625
3,0,0.0,1e-05,2025-04-24,0.004482170988865074,0.004482170988865074,0.006052305176301643,0.00643280300020625
4,0,0.0,0.00010415825286686844,2025-04-25,0.009310218265300728,0.009310218265300728,0.006052305176301643,0.00643280300020625
5,0,0.0,3.3767083594808495e-05,2025-04-28,0.0068299032763251815,0.0068299032763251815,0.006052305176301643,0.00643280300020625
6,0,0.0,2.047571220098164e-05,2025-04-29,0.005991518098749517,0.005991518098749517,0.006263736593373028,0.00643280300020625
7,0,0.0,1.3634349721962237e-05,2025-04-30,0.00554076789409946,0.00554076789409946,0.006522661372951868,0.00643280300020625
8,0,0.0,7.453199594190254e-05,2025-05-02,0.007808586983537142,0.007808586983537142,0.006430915704667991,0.00643280300020625
9,0,0.0,2.138158252899226e-05,2025-05-05,0.005433554047452433,0.005433554047452433,0.007096198903602406,0.00643280300020625
10,0,0.0,1.8867893481087203e-05,2025-05-06,0.004198246157404846,0.004198246157404846,0.006320866060032746,0.00643280300020625
11,0,0.0,2.415559689698605e-05,2025-05-07,0.00576028751995614,0.00576028751995614,0.005794534636248679,0.00643280300020625
12,0,0.0,1e-05,2025-05-08,0.004517563327334203,0.004517563327334203,0.005748288520490004,0.00643280300020625
13,0,0.0,3.1465533556096594e-05,2025-05-09,0.0080012489692413,0.0080012489692413,0.005543647607136952,0.00643280300020625
14,0,0.0,3.113286418925306e-05,2025-05-12,0.005645778270378003,0.005645778270378003,0.005582180004277785,0.00643280300020625
15,0,0.0,3.0323049081431523e-05,2025-05-13,0.011187629345706667,0.011187629345706667,0.005624624848862898,0.00643280300020625
16,0,0.0,2.4700226390153153e-05,2025-05-14,0.006337161111542017,0.006337161111542017,0.007022501486523262,0.00643280300020625
17,0,0.0,3.741524747293717e-05,2025-05-15,0.011400578819334126,0.011400578819334126,0.007137876204840439,0.00643280300020625
18,0,0.0,1.3824214391530465e-05,2025-05-16,0.0052027469585787895,0.0052027469585787895,0.008514479303240423,0.00643280300020625
19,0,0.0,1.093637268525769e-05,2025-05-19,0.004728444803958433,0.004728444803958433,0.00795477890110792,0.00643280300020625
20,0,0.0,1.545997068748249e-05,2025-05-20,0.005467228565912221,0.005467228565912221,0.007771312207824006,0.00643280300020625
21,0,0.0,5.385896719417799e-05,2025-05-21,0.007208895973518807,0.007208895973518807,0.0066272320518651175,0.00643280300020625
22,0,0.0,1.4201289461625766e-05,2025-05-22,0.007065444218324437,0.007065444218324437,0.006801579024260476,0.00643280300020625
23,0,0.0,4.869526258692541e-05,2025-05-23,0.006349401048455713,0.006349401048455713,0.005934552104058538,0.006491562001449714
24,0,0.0,2.535377644604201e-05,2025-05-26,0.005471637835885679,0.005471637835885679,0.006163882922033922,0.006566675949067915
25,0,0.0,6.820985712157986e-05,2025-05-27,0.01003919816279814,0.01003919816279814,0.0063125215284193705,0.006542682385448224
26,0,0.0,1e-05,2025-05-28,0.005230117340804839,0.005230117340804839,0.007226915447796555,0.006795274529717909
27,0,0.0,2.9271298201125683e-05,2025-05-29,0.005850864090940614,0.005850864090940614,0.006831159721253763,0.006609815396786276
28,0,0.0,2.0975554792333606e-05,2025-05-30,0.004846055132410264,0.004846055132410264,0.006588243695776997,0.006565313615632434
29,0,0.0,2.5917254726719172e-05,2025-06-02,0.0056276939316691355,0.0056276939316691355,0.006287574512567907,0.006513247117162468
30,0,0.0,2.744724400550126e-05,2025-06-03,0.007957254333563205,0.007957254333563205,0.0063187857317246,0.006517198300688362
31,0,0.0,1e-05,2025-06-04,0.0036351945684959487,0.0036351945684959487,0.005902396965877612,0.006523955907507728
32,0,0.0,2.7195858434706714e-05,2025-06-05,0.005827156960092817,0.005827156960092817,0.005583412411415833,0.006442212294827887
33,0,0.0,9.758063271050787e-05,2025-06-06,0.006272149637337731,0.006272149637337731,0.005578670985246274,0.0065162536949500685
34,0,0.0,1e-05,2025-06-09,0.0030606610528116423,0.0030606610528116423,0.005863889886231767,0.00653952015483105
35,0,0.0,1e-05,2025-06-10,0.0037263700867145168,0.0037263700867145168,0.005350483310460269,0.0064732973241709325
36,0,0.0,2.2418480857890108e-05,2025-06-11,0.003309270309164752,0.003309270309164752,0.004504306461090532,0.006278984647692443
37,0,0.0,3.166674355061171e-05,2025-06-12,0.005800977360808956,0.005800977360808956,0.0044391216092242915,0.006172779740364567
38,0,0.0,2.187614240898345e-05,2025-06-13,0.005065835638799122,0.005065835638799122,0.00443388568936752,0.005927931922869217
39,0,0.0,5.2100350449203286e-05,2025-06-16,0.004647959704779412,0.004647959704779412,0.004192622889659798,0.005870144401380903
40,0,0.0,1.1197061662723865e-05,2025-06-17,0.004437104194833472,0.004437104194833472,0.004510082620053352,0.005563207168901144
41,0,0.0,3.9663227511529116e-05,2025-06-18,0.004289598499759416,0.004289598499759416,0.004652229441677143,0.005528405225094539
42,0,0.0,1.0731165760719666e-05,2025-06-19,0.004573482335854725,0.004573482335854725,0.004848295079796076,0.005508457665812766
43,0,0.0,5.288115562860339e-05,2025-06-20,0.005114340835509599,0.005114340835509599,0.00460279607480523,0.005467832837173788
44,0,0.0,2.743070479958106e-05,2025-06-23,0.00443302502802929,0.00443302502802929,0.004612497114147325,0.005372625785446097
45,0,0.0,3.145785975946101e-05,2025-06-24,0.008781470367319435,0.008781470367319435,0.0045695101787973005,0.005252970367705409
46,0,0.0,1.084112255364627e-05,2025-06-25,0.0038746190091917773,0.0038746190091917773,0.005438383413294493,0.005363518973108306
47,0,0.0,1.9484984569490693e-05,2025-06-26,0.006324853193669387,0.006324853193669387,0.005355387515180965,0.005290927208258583
48,0,0.0,1.981739027536077e-05,2025-06-27,0.003499905157856122,0.003499905157856122,0.005705661686743898,0.005122093346025458
49,0,0.0,1.662285477220959e-05,2025-06-30,0.004071272683819906,0.004071272683819906,0.005382774551213203,0.005043447337709607
50,0,0.0,1.5315561422601346e-05,2025-07-01,0.0034254009216447556,0.0034254009216447556,0.005310424082371324,0.00496255681920412
51,0,0.0,2.4502409109527265e-05,2025-07-02,0.003600966685757174,0.003600966685757174,0.00423921019323639,0.0048979816278056885
52,0,0.0,2.23216850986557e-05,2025-07-03,0.005757836215666851,0.005757836215666851,0.0041844797285494695,0.004805857662082417
53,0,0.0,1.8412446746180955e-05,2025-07-04,0.0039294818378097455,0.0039294818378097455,0.004071076332948962,0.004705884111268946
54,0,0.0,1e-05,2025-07-07,0.0039676216044620925,0.0039676216044620925,0.004156991668939685,0.004719260805328664
55,0,0.0,1.0209643664871934e-05,2025-07-08,0.003841154103985209,0.003841154103985209,0.004136261453068123,0.004634736470981813
56,0,0.0,1.3047213008550662e-05,2025-07-09,0.003801683958945953,0.003801683958945953,0.004219412089536215,0.004524236674011244
57,0,0.0,2.3522673585514903e-05,2025-07-10,0.00437075513493837,0.00437075513493837,0.004259555544173971,0.004557919533380985
58,0,0.0,4.330490598450734e-05,2025-07-11,0.004395172704883005,0.004395172704883005,0.003982139328028274,0.004587209762845706
59,0,0.0,2.3041540865582222e-05,2025-07-14,0.004222838893699963,0.004222838893699963,0.004075277501442926,0.004636568962651081
60,0,0.0,3.6330804229879774e-05,2025-07-15,0.003713782817512535,0.003713782817512535,0.0041263209592905,0.004564835395964309
61,0,0.0,1.3089679952081521e-05,2025-07-16,0.003489670048647019,0.003489670048647019,0.004100846701995965,0.0045033784495421905
62,0,0.0,1.3509597411108476e-05,2025-07-17,0.0036536701619937807,0.0036536701619937807,0.0040384439199361785,0.00445072891971799
63,0,0.0,3.604199947201034e-05,2025-07-18,0.004671722047249515,0.004671722047249515,0.003895026925347261,0.004415118281861641
64,0,0.0,3.6401149672333425e-05,2025-07-21,0.004815391023189346,0.004815391023189346,0.003950336793820562,0.004432487534020282
65,0,0.0,1.8438367811674542e-05,2025-07-22,0.003756819043638007,0.003756819043638007,0.004068847219718439,0.004443483383444583
66,0,0.0,1.2831027265718647e-05,2025-07-23,0.0034237974447692728,0.0034237974447692728,0.004077454464943534,0.004381777847450419
67,0,0.0,3.316631833449647e-05,2025-07-24,0.00396694083007588,0.00396694083007588,0.004064279944167985,0.004335903866393146
68,0,0.0,2.4314180007225805e-05,2025-07-25,0.005445036566877957,0.005445036566877957,0.004126934077784404,0.004117061614700258
69,0,0.0,1.808993701039497e-05,2025-07-28,0.005551736265984084,0.005551736265984084,0.004281596981710093,0.00418844423095872
70,0,0.0,1.5486855023243644e-05,2025-07-29,0.005293171723820317,0.005293171723820317,0.00442886603026904,0.00415330255242757
71,0,0.0,1.8168677333087282e-05,2025-07-30,0.004714397773756229,0.004714397773756229,0.004736136566305502,0.004234814669062306
72,0,0.0,4.3095841146577426e-05,2025-07-31,0.006407711452471709,0.006407711452471709,0.004994256632102893,0.004264047627695776
73,0,0.0,3.0881823571012045e-05,2025-08-01,0.006270651298706611,0.006270651298706611,0.005482410756582059,0.004399607197278819
74,0,0.0,1.865764240876604e-05,2025-08-04,0.005296793651118407,0.005296793651118407,0.00564753370294779,0.004520956497867431
75,0,0.0,1.602310680212177e-05,2025-08-05,0.004362368732519836,0.004362368732519836,0.005596545179974655,0.0045000000176606825
76,0,0.0,2.6468538438795416e-05,2025-08-06,0.004544668216931852,0.004544668216931852,0.0054103845817145575,0.00451967669469296
77,0,0.0,3.0461327306260632e-05,2025-08-07,0.005068128918201227,0.005068128918201227,0.005376438670349683,0.004545906086168858
78,0,0.0,2.9001052746592988e-05,2025-08-08,0.004646543091568,0.004646543091568,0.005108522163495587,0.004601677668633222
79,0,0.0,2.097482610479779e-05,2025-08-11,0.004448482270916884,0.004448482270916884,0.004783700522067865,0.004640080356479679
80,0,0.0,3.5915436251475005e-05,2025-08-12,0.0054146230506627625,0.0054146230506627625,0.004614038246027559,0.004643613408115066
81,0,0.0,1e-05,2025-08-13,0.003975532509283872,0.003975532509283872,0.004824489109656145,0.004689952060195964
82,0,0.0,1e-05,2025-08-14,0.004097940972532154,0.004097940972532154,0.004710661968126549,0.0046787108609043235
83,0,0.0,2.4559318084415903e-05,2025-08-18,0.003764826721950781,0.003764826721950781,0.004516624378992734,0.004696172595223397
84,0,0.0,1.742947049425126e-05,2025-08-19,0.003426940735478659,0.003426940735478659,0.004340281105069291,0.004708679716737204
85,0,0.0,1.9370907954442905e-05,2025-08-20,0.003038529107203819,0.003038529107203819,0.004135972797981646,0.004698373833713789
